field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
37,4424,Geranium lucidum,-2.306559,51.356221,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099372133,NA,HUMAN_OBSERVATION,1972,4,16,1972-04-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,11.38829899,4.329030037,54.0846138,0.02928482,30.19805718,30.16877174,0
38,4426,Geranium lucidum,-2.002258,54.091255,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3105784900,NA,HUMAN_OBSERVATION,1972,6,25,1972-06-25,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.561500013,12.6687727,78.60531616,0,8.164411545,8.164411545,0
39,4425,Geranium lucidum,-4.335651,57.334308,fpwktinv,GBR,NA,PRESENT,707.1,E,2942846530,NA,HUMAN_OBSERVATION,1972,6,29,1972-06-29,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.200200006,12.69431686,54.65338898,0,4.506695747,4.506695747,27.94540024
40,4427,Geranium lucidum,-4.165998,56.708338,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2946519881,NA,HUMAN_OBSERVATION,1972,7,31,1972-07-31,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.3574,25.76260948,69.1097641,0,4.770224094,4.770224094,0
41,4428,Geranium lucidum,-4.329591,51.824468,fpwktinv,GBR,NA,PRESENT,70.7,West Wales Biodiversity Information Centre,2908832790,NA,HUMAN_OBSERVATION,1972,8,24,1972-08-24,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.527700067,2.882926226,82.25201416,0,13.33735657,13.33735657,0
42,4429,Geranium lucidum,-2.337236,54.110555,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3102410037,NA,HUMAN_OBSERVATION,1972,9,6,1972-09-06,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.845399976,4.401942253,84.20288849,0,10.54977226,10.54977226,0
43,4367,Geranium lucidum,14.957596,58.278913,gass84,SWE,NA,PRESENT,500,<U+FFFD>sterg<U+FFFD>tlands flora,2847710950,NA,HUMAN_OBSERVATION,1975,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.070299983,38.79657745,11.49255848,2.343733072,48.64056397,46.29682922,0
44,4412,Geranium lucidum,12.376763,58.771377,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428919420,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.368899971,69.95464325,16.57718849,0.657506824,9.099268913,8.441761971,4
45,4413,Geranium lucidum,12.37026,58.767162,"cdround,gass84",SWE,NA,PRESENT,250,ArtDatabanken,1428919510,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.368899971,69.95464325,16.57718849,0.657506824,9.099268913,8.441761971,4
46,4415,Geranium lucidum,11.904447,58.77915,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428944648,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.465000004,61.41817474,19.21554375,0.184886903,18.90128136,18.71639442,0
