field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"495","765",Butomus umbellatus,-76.213302999999996,44.030078000000003,cdround,USA,NA,PRESENT,"5",iNaturalist,"3013998532",https://www.inaturalist.org/observations/57844011,HUMAN_OBSERVATION,"2020","8","25",2020-08-25,WGS84
"496","766",Butomus umbellatus,-83.894041999999999,43.590603000000002,cdround,USA,NA,PRESENT,"13",iNaturalist,"3014002496",https://www.inaturalist.org/observations/57848649,HUMAN_OBSERVATION,"2020","8","28",2020-08-28,WGS84
"497","768",Butomus umbellatus,-73.194057000000001,44.581598000000000,cdround,USA,NA,PRESENT,"10",iNaturalist,"3014022513",https://www.inaturalist.org/observations/58163986,HUMAN_OBSERVATION,"2020","8","31",2020-08-31,WGS84
"499","770",Butomus umbellatus,-83.745626999999999,42.293920999999997,cdround,USA,NA,PRESENT,"10",iNaturalist,"3014053495",https://www.inaturalist.org/observations/58043654,HUMAN_OBSERVATION,"2020","8","29",2020-08-29,WGS84
"500","773",Butomus umbellatus,-73.354314000000002,44.938326000000004,cdround,USA,NA,PRESENT,"8",iNaturalist,"3014097515",https://www.inaturalist.org/observations/58114681,HUMAN_OBSERVATION,"2020","8","30",2020-08-30,WGS84
"506","782",Butomus umbellatus,-80.145752000000002,42.126320999999997,cdround,USA,NA,PRESENT,"5",iNaturalist,"3039256607",https://www.inaturalist.org/observations/55497997,HUMAN_OBSERVATION,"2020","8","5",2020-08-05,WGS84
"518","800",Butomus umbellatus,-85.747820000000004,42.939247000000002,cdround,USA,NA,PRESENT,"5",iNaturalist,"3118329382",https://www.inaturalist.org/observations/56987948,HUMAN_OBSERVATION,"2020","8","19",2020-08-19,WGS84
"523","807",Butomus umbellatus,-73.277519999999996,44.226505000000003,NA,USA,NA,PRESENT,"10",iNaturalist,"2860275436",https://www.inaturalist.org/observations/58439502,HUMAN_OBSERVATION,"2020","9","3",2020-09-03,WGS84
"530","820",Butomus umbellatus,-72.940969999999993,46.091281000000002,cdround,CAN,NA,PRESENT,"8",iNaturalist,"2864622673",https://www.inaturalist.org/observations/59540001,HUMAN_OBSERVATION,"2020","9","12",2020-09-12,WGS84
"531","822",Butomus umbellatus,-72.911918999999997,46.004736000000001,cdround,CAN,NA,PRESENT,"8",iNaturalist,"2864683584",https://www.inaturalist.org/observations/59740227,HUMAN_OBSERVATION,"2020","9","13",2020-09-13,WGS84
"535","828",Butomus umbellatus,-73.482505000000003,45.430399999999999,NA,CAN,NA,PRESENT,"32",iNaturalist,"2868301748",https://www.inaturalist.org/observations/60555997,HUMAN_OBSERVATION,"2020","9","23",2020-09-23,WGS84
"537","830",Butomus umbellatus,-77.027131999999995,45.733995000000000,cdround,CAN,NA,PRESENT,"227",iNaturalist,"2868381861",https://www.inaturalist.org/observations/60525239,HUMAN_OBSERVATION,"2020","9","20",2020-09-20,WGS84
"541","834",Butomus umbellatus,-83.355956000000006,41.684586000000003,cdround,USA,NA,PRESENT,"8",iNaturalist,"2873919860",https://www.inaturalist.org/observations/61175011,HUMAN_OBSERVATION,"2020","9","25",2020-09-25,WGS84
